State,Year,TotalVMT_millions
Alabama,2016,69227.0
Alaska,2016,5259.0
Arizona,2016,65786.0
Arkansas,2016,35755.0
California,2016,340115.0
Colorado,2016,52152.0
Connecticut,2016,31639.0
Delaware,2016,10178.0
District of Columbia,2016,3622.0
Florida,2016,215551.0
Georgia,2016,122802.0
Hawaii,2016,10635.0
Idaho,2016,17199.0
Illinois,2016,107314.0
Indiana,2016,83183.0
Iowa,2016,33337.0
Kansas,2016,32103.0
Kentucky,2016,49313.0
Louisiana,2016,49156.0
Maine,2016,14838.0
Maryland,2016,59137.0
Massachusetts,2016,61825.0
Michigan,2016,99433.0
Minnesota,2016,59029.0
Mississippi,2016,40755.0
Missouri,2016,74019.0
Montana,2016,12599.0
Nebraska,2016,20700.0
Nevada,2016,26788.0
New Hampshire,2016,13513.0
New Jersey,2016,77093.0
New Mexico,2016,27886.0
New York,2016,122337.0
North Carolina,2016,116749.0
North Dakota,2016,9739.0
Ohio,2016,118608.0
Oklahoma,2016,49013.0
Oregon,2016,36719.0
Pennsylvania,2016,101362.0
Rhode Island,2016,7927.0
South Carolina,2016,54553.0
South Dakota,2016,9507.0
Tennessee,2016,76884.0
Texas,2016,271263.0
Utah,2016,31449.0
Vermont,2016,7382.0
Virginia,2016,84463.0
Washington,2016,61018.0
West Virginia,2016,19539.0
Wisconsin,2016,64046.0
Wyoming,2016,9323.0
Alabama,2017,68900.5
Alaska,2017,5270.75
Arizona,2017,65779.0
Arkansas,2017,35296.0
California,2017,330039.25
Colorado,2017,51274.5
Connecticut,2017,31190.5
Delaware,2017,9719.75
District of Columbia,2017,3474.0
Florida,2017,213682.25
Georgia,2017,121093.25
Hawaii,2017,10172.5
Idaho,2017,17250.75
Illinois,2017,104015.75
Indiana,2017,81539.25
Iowa,2017,32440.5
Kansas,2017,31040.75
Kentucky,2017,48618.75
Louisiana,2017,48960.5
Maine,2017,14400.0
Maryland,2017,57074.0
Massachusetts,2017,59900.5
Michigan,2017,96211.5
Minnesota,2017,57176.5
Mississippi,2017,40482.5
Missouri,2017,73713.5
Montana,2017,12475.25
Nebraska,2017,20383.0
Nevada,2017,26398.75
New Hampshire,2017,13123.75
New Jersey,2017,74405.0
New Mexico,2017,26853.5
New York,2017,117372.0
North Carolina,2017,114147.25
North Dakota,2017,9496.25
Ohio,2017,114734.75
Oklahoma,2017,47259.75
Oregon,2017,35613.75
Pennsylvania,2017,98017.0
Rhode Island,2017,7661.25
South Carolina,2017,54407.75
South Dakota,2017,9566.0
Tennessee,2017,76761.0
Texas,2017,268592.75
Utah,2017,31149.5
Vermont,2017,7038.25
Virginia,2017,82374.75
Washington,2017,59178.0
West Virginia,2017,18667.75
Wisconsin,2017,62434.5
Wyoming,2017,9442.25
Alabama,2018,68574.0
Alaska,2018,5282.5
Arizona,2018,65772.0
Arkansas,2018,34837.0
California,2018,319963.5
Colorado,2018,50397.0
Connecticut,2018,30742.0
Delaware,2018,9261.5
District of Columbia,2018,3326.0
Florida,2018,211813.5
Georgia,2018,119384.5
Hawaii,2018,9710.0
Idaho,2018,17302.5
Illinois,2018,100717.5
Indiana,2018,79895.5
Iowa,2018,31544.0
Kansas,2018,29978.5
Kentucky,2018,47924.5
Louisiana,2018,48765.0
Maine,2018,13962.0
Maryland,2018,55011.0
Massachusetts,2018,57976.0
Michigan,2018,92990.0
Minnesota,2018,55324.0
Mississippi,2018,40210.0
Missouri,2018,73408.0
Montana,2018,12351.5
Nebraska,2018,20066.0
Nevada,2018,26009.5
New Hampshire,2018,12734.5
New Jersey,2018,71717.0
New Mexico,2018,25821.0
New York,2018,112407.0
North Carolina,2018,111545.5
North Dakota,2018,9253.5
Ohio,2018,110861.5
Oklahoma,2018,45506.5
Oregon,2018,34508.5
Pennsylvania,2018,94672.0
Rhode Island,2018,7395.5
South Carolina,2018,54262.5
South Dakota,2018,9625.0
Tennessee,2018,76638.0
Texas,2018,265922.5
Utah,2018,30850.0
Vermont,2018,6694.5
Virginia,2018,80286.5
Washington,2018,57338.0
West Virginia,2018,17796.5
Wisconsin,2018,60823.0
Wyoming,2018,9561.5
Alabama,2019,68247.5
Alaska,2019,5294.25
Arizona,2019,65765.0
Arkansas,2019,34378.0
California,2019,309887.75
Colorado,2019,49519.5
Connecticut,2019,30293.5
Delaware,2019,8803.25
District of Columbia,2019,3178.0
Florida,2019,209944.75
Georgia,2019,117675.75
Hawaii,2019,9247.5
Idaho,2019,17354.25
Illinois,2019,97419.25
Indiana,2019,78251.75
Iowa,2019,30647.5
Kansas,2019,28916.25
Kentucky,2019,47230.25
Louisiana,2019,48569.5
Maine,2019,13524.0
Maryland,2019,52948.0
Massachusetts,2019,56051.5
Michigan,2019,89768.5
Minnesota,2019,53471.5
Mississippi,2019,39937.5
Missouri,2019,73102.5
Montana,2019,12227.75
Nebraska,2019,19749.0
Nevada,2019,25620.25
New Hampshire,2019,12345.25
New Jersey,2019,69029.0
New Mexico,2019,24788.5
New York,2019,107442.0
North Carolina,2019,108943.75
North Dakota,2019,9010.75
Ohio,2019,106988.25
Oklahoma,2019,43753.25
Oregon,2019,33403.25
Pennsylvania,2019,91327.0
Rhode Island,2019,7129.75
South Carolina,2019,54117.25
South Dakota,2019,9684.0
Tennessee,2019,76515.0
Texas,2019,263252.25
Utah,2019,30550.5
Vermont,2019,6350.75
Virginia,2019,78198.25
Washington,2019,55498.0
West Virginia,2019,16925.25
Wisconsin,2019,59211.5
Wyoming,2019,9680.75
Alabama,2020,67921.0
Alaska,2020,5306.0
Arizona,2020,65758.0
Arkansas,2020,33919.0
California,2020,299812.0
Colorado,2020,48642.0
Connecticut,2020,29845.0
Delaware,2020,8345.0
District of Columbia,2020,3030.0
Florida,2020,208076.0
Georgia,2020,115967.0
Hawaii,2020,8785.0
Idaho,2020,17406.0
Illinois,2020,94121.0
Indiana,2020,76608.0
Iowa,2020,29751.0
Kansas,2020,27854.0
Kentucky,2020,46536.0
Louisiana,2020,48374.0
Maine,2020,13086.0
Maryland,2020,50885.0
Massachusetts,2020,54127.0
Michigan,2020,86547.0
Minnesota,2020,51619.0
Mississippi,2020,39665.0
Missouri,2020,72797.0
Montana,2020,12104.0
Nebraska,2020,19432.0
Nevada,2020,25231.0
New Hampshire,2020,11956.0
New Jersey,2020,66341.0
New Mexico,2020,23756.0
New York,2020,102477.0
North Carolina,2020,106342.0
North Dakota,2020,8768.0
Ohio,2020,103115.0
Oklahoma,2020,42000.0
Oregon,2020,32298.0
Pennsylvania,2020,87982.0
Rhode Island,2020,6864.0
South Carolina,2020,53972.0
South Dakota,2020,9743.0
Tennessee,2020,76392.0
Texas,2020,260582.0
Utah,2020,30251.0
Vermont,2020,6007.0
Virginia,2020,76110.0
Washington,2020,53658.0
West Virginia,2020,16054.0
Wisconsin,2020,57600.0
Wyoming,2020,9800.0
Alabama,2021,69776.0
Alaska,2021,5392.0
Arizona,2021,70958.5
Arkansas,2021,36224.5
California,2021,307528.0
Colorado,2021,51288.5
Connecticut,2021,29755.5
Delaware,2021,9108.5
District of Columbia,2021,3225.5
Florida,2021,217916.5
Georgia,2021,122419.0
Hawaii,2021,9537.0
Idaho,2021,18281.5
Illinois,2021,98936.5
Indiana,2021,86146.0
Iowa,2021,31231.5
Kansas,2021,29594.0
Kentucky,2021,47291.5
Louisiana,2021,52444.0
Maine,2021,13868.5
Maryland,2021,53815.5
Massachusetts,2021,55538.0
Michigan,2021,91224.0
Minnesota,2021,54545.0
Mississippi,2021,39808.5
Missouri,2021,76114.0
Montana,2021,12809.0
Nebraska,2021,20351.0
Nevada,2021,26439.0
New Hampshire,2021,12618.5
New Jersey,2021,70814.5
New Mexico,2021,25293.5
New York,2021,108929.5
North Carolina,2021,112861.5
North Dakota,2021,8974.0
Ohio,2021,106846.5
Oklahoma,2021,43283.0
Oregon,2021,34437.0
Pennsylvania,2021,93947.0
Rhode Island,2021,7197.5
South Carolina,2021,56480.0
South Dakota,2021,9956.5
Tennessee,2021,79805.5
Texas,2021,275736.0
Utah,2021,32293.5
Vermont,2021,6567.5
Virginia,2021,79096.5
Washington,2021,56070.5
West Virginia,2021,15683.0
Wisconsin,2021,61883.5
Wyoming,2021,9562.0
Alabama,2022,71631.0
Alaska,2022,5478.0
Arizona,2022,76159.0
Arkansas,2022,38530.0
California,2022,315244.0
Colorado,2022,53935.0
Connecticut,2022,29666.0
Delaware,2022,9872.0
District of Columbia,2022,3421.0
Florida,2022,227757.0
Georgia,2022,128871.0
Hawaii,2022,10289.0
Idaho,2022,19157.0
Illinois,2022,103752.0
Indiana,2022,95684.0
Iowa,2022,32712.0
Kansas,2022,31334.0
Kentucky,2022,48047.0
Louisiana,2022,56514.0
Maine,2022,14651.0
Maryland,2022,56746.0
Massachusetts,2022,56949.0
Michigan,2022,95901.0
Minnesota,2022,57471.0
Mississippi,2022,39952.0
Missouri,2022,79431.0
Montana,2022,13514.0
Nebraska,2022,21270.0
Nevada,2022,27647.0
New Hampshire,2022,13281.0
New Jersey,2022,75288.0
New Mexico,2022,26831.0
